source,target,value
United States,Santana,62.8
Santana,rock,62.8
United States,Simon & Garfunkel,62.1
Simon & Garfunkel,rock,62.1
United Kingdom,George Michael,52.8
George Michael,pop,52.8
Spain,Julio Iglesias,51.7
Julio Iglesias,latin,51.7
United Kingdom,Dire Straits,51.7
Dire Straits,rock,51.7
United States,The Doors,50.5
The Doors,rock,50.5
United Kingdom,Foreigner,50.4
Foreigner,rock,25.2
Foreigner,rock,25.2
United States,Foreigner,50.4
Foreigner,rock,25.2
Foreigner,rock,25.2
United States,Chicago,48.5
Chicago,rock,24.25
Chicago,pop,24.25
United States,Bob Dylan,47.9
Bob Dylan,folk,23.95
Bob Dylan,rock,23.95
United States,The Carpenters,46.7
The Carpenters,pop,46.7
United States,Meat Loaf,46.6
Meat Loaf,rock,23.3
Meat Loaf,rock,23.3
United States,"Earth, Wind & Fire",44.7
"Earth, Wind & Fire",funk,14.9
"Earth, Wind & Fire",r&b and soul,14.9
"Earth, Wind & Fire",r&b and soul,14.9
United States,Cher,43.1
Cher,pop,10.775
Cher,rock,10.775
Cher,dance,10.775
Cher,folk,10.775
United Kingdom,Def Leppard,42.6
Def Leppard,rock,21.3
Def Leppard,metal,21.3
United Kingdom,Genesis,40.3
Genesis,rock,20.15
Genesis,rock,20.15
United Kingdom,David Bowie,41.5
David Bowie,rock,13.8333
David Bowie,rock,13.8333
David Bowie,pop,13.8333
United States,Stevie Wonder,38.9
Stevie Wonder,funk,12.9667
Stevie Wonder,r&b and soul,12.9667
Stevie Wonder,r&b and soul,12.9667
United States,James Taylor,36.5
James Taylor,rock,18.25
James Taylor,pop,18.25
United States,Tina Turner,36.4
Tina Turner,rock,18.2
Tina Turner,pop,18.2
Australia,Olivia Newton-John,36.1
Olivia Newton-John,pop,36.1
United States,Linda Ronstadt,33.2
Linda Ronstadt,rock,11.0667
Linda Ronstadt,folk,11.0667
Linda Ronstadt,country,11.0667
United States,The Beach Boys,32.7
The Beach Boys,rock,10.9
The Beach Boys,pop,10.9
The Beach Boys,rock,10.9
United States,Donna Summer,31.3
Donna Summer,pop,10.4333
Donna Summer,electronic,10.4333
Donna Summer,r&b and soul,10.4333
United States,Alicia Keys,85.9
Alicia Keys,hip-hop,28.6333
Alicia Keys,r&b and soul,28.6333
Alicia Keys,pop,28.6333
United States,Christina Aguilera,76.6
Christina Aguilera,r&b and soul,25.5333
Christina Aguilera,pop,25.5333
Christina Aguilera,rock,25.5333
United States,Lionel Richie,43.0
Lionel Richie,pop,21.5
Lionel Richie,r&b and soul,21.5
United States,Johnny Cash,32.2
Johnny Cash,country,10.7333
Johnny Cash,rock,10.7333
Johnny Cash,r&b and soul,10.7333
United States,Justin Timberlake,83.0
Justin Timberlake,pop,27.6667
Justin Timberlake,r&b and soul,27.6667
Justin Timberlake,r&b and soul,27.6667
United States,Ariana Grande,143.2
Ariana Grande,pop,71.6
Ariana Grande,r&b and soul,71.6
United States,R.E.M.,45.3
R.E.M.,rock,45.3
United States,Post Malone,207.0
Post Malone,pop,69.0
Post Malone,r&b and soul,69.0
Post Malone,hip-hop,69.0
United States,Flo Rida,85.0
Flo Rida,hip-hop,28.3333
Flo Rida,electronic,28.3333
Flo Rida,electronic,28.3333
United States,Usher,76.6
Usher,r&b and soul,38.3
Usher,pop,38.3
Colombia,Shakira,75.0
Shakira,pop,25.0
Shakira,pop,25.0
Shakira,rock,25.0
United States,Tim McGraw,72.3
Tim McGraw,country,72.3
United States,The Black Eyed Peas,69.8
The Black Eyed Peas,hip-hop,23.2667
The Black Eyed Peas,r&b and soul,23.2667
The Black Eyed Peas,dance,23.2667
United States,Van Halen,65.2
Van Halen,rock,32.6
Van Halen,metal,32.6
Japan,Ayumi Hamasaki,64.5
Ayumi Hamasaki,pop,16.125
Ayumi Hamasaki,pop,16.125
Ayumi Hamasaki,dance,16.125
Ayumi Hamasaki,electronic,16.125
United States,Tom Petty,36.0
Tom Petty,rock,36.0
France,Johnny Hallyday,28.9
Johnny Hallyday,rock,14.45
Johnny Hallyday,pop,14.45
Canada,The Weeknd,213.4
The Weeknd,pop,106.7
The Weeknd,r&b and soul,106.7
United States,Imagine Dragons,124.4
Imagine Dragons,rock,41.4667
Imagine Dragons,pop,41.4667
Imagine Dragons,pop,41.4667
United States,Luke Bryan,84.5
Luke Bryan,country,42.25
Luke Bryan,pop,42.25
United States,Tupac Shakur,60.1
Tupac Shakur,hip-hop,60.1
United States,Alabama,58.0
Alabama,country,29.0
Alabama,rock,29.0
United States,R. Kelly,56.8
R. Kelly,r&b and soul,18.9333
R. Kelly,r&b and soul,18.9333
R. Kelly,hip-hop,18.9333
United States,Nirvana,56.0
Nirvana,rock,28.0
Nirvana,rock,28.0
United Kingdom,Robbie Williams,55.9
Robbie Williams,rock,55.9
United States,Bob Seger,55.3
Bob Seger,rock,18.4333
Bob Seger,rock,18.4333
Bob Seger,rock,18.4333
United States,Kenny G,53.9
Kenny G,jazz,53.9
United States,Green Day,53.0
Green Day,rock,17.6667
Green Day,pop,17.6667
Green Day,rock,17.6667
Ireland,Enya,51.9
Enya,electronic,25.95
Enya,folk,25.95
Canada,Bryan Adams,49.9
Bryan Adams,rock,49.9
Jamaica,Bob Marley,46.3
Bob Marley,reggae,46.3
United Kingdom,The Police,42.2
The Police,pop,21.1
The Police,rock,21.1
United States,Gloria Estefan,37.6
Gloria Estefan,pop,18.8
Gloria Estefan,pop,18.8
United States,Barry Manilow,36.7
Barry Manilow,pop,18.35
Barry Manilow,rock,18.35
United States,Kiss,28.7
Kiss,rock,14.35
Kiss,metal,14.35
United States,Aretha Franklin,26.6
Aretha Franklin,r&b and soul,6.65
Aretha Franklin,jazz,6.65
Aretha Franklin,blues,6.65
Aretha Franklin,r&b and soul,6.65
